2012 US Presidential Election,Romney,Obama,Other
AL,1255925,795696,22717
AK,164676,122640,13179
AZ,1233654,1025232,47673
AR,647744,394409,27315
CA,4839958,7854285,360745
CO,1185243,1323101,63434
CT,634899,905109,18985
DE,165484,242584,5853
DC,21381,267070,5313
FL,4163447,4237756,90972
GA,2078688,1773827,55854
HI,121015,306658,7024
ID,420911,212787,23044
IL,2135216,3019512,92444
IN,1420543,1152887,55584
IA,730617,822544,29019
KS,689809,439908,26537
KY,1087190,679370,30652
LA,1152262,809141,32662
ME,292276,401306,19598
MD,971869,1677844,57613
MA,1188460,1921761,57546
MI,2115256,2564569,61741
MN,1320225,1546167,70169
MS,710746,562949,11889
MO,1482440,1223796,56065
MT,267928,201839,14717
NE,475064,302081,17234
NV,463567,531373,19978
NH,329918,369561,11493
NJ,1478749,2126610,45774
NM,335788,415335,32634
NY,2490496,4485877,105163
NC,2270395,2178391,56586
ND,188320,124966,9646
OH,2661437,2827709,101785
OK,891325,443547,0
OR,754175,970488,64607
PA,2680434,2990274,84149
RI,157204,279677,9168
SC,1071645,865941,26532
SD,210610,145039,8166
TN,1462330,960709,37865
TX,4569843,3308124,118140
UT,740600,251813,28234
VT,92698,199239,7353
VA,1822522,1971820,60147
WA,1290670,1755396,99892
WV,417655,238269,14743
WI,1407966,1620985,39483
WY,170962,69286,8813
